college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,1G,2601.0,2601,2601,0.0,1,2601,1231.39999987686,3832
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2AG,2986.0,2986,2986,0.0,1,2986,879.999999912,3866
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2AK,5737.0,5737,5737,0.0,1,5737,563.2857142213388,6300
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2AR,3807.0,3807,3807,0.0,1,3807,672.79999993272,4480
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2BG,3940.0,3940,3940,0.0,1,3940,1485.69999985143,5426
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,3AG,1623.0,1623,1623,0.0,1,1623,667.09999993329,2290
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,3BG,1966.0,1966,1966,0.0,1,1966,672.29999993277,2638
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,GM,1459.0,1459,1459,0.0,1,1459,570.79999994292,2030
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,GMK,4024.0,4024,4024,0.0,1,4024,410.49999995895,4434
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,GMR,2583.0,2583,2583,0.0,1,2583,741.89999992581,3325
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,SCG,9242.0,9242,9242,0.0,1,9242,3676.79999963232,12919
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,SCK,16694.0,16694,16694,0.0,1,16694,3415.142856752555,20109
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,SCR,18496.0,18496,18496,0.0,1,18496,2510.39999974896,21006
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,STG,6114.0,6114,6114,0.0,1,6114,3502.39999964976,9616
E001,University Visveswariah College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,STR,7656.0,7656,7656,0.0,1,7656,3263.9999996736,10920
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,1G,20587.0,20587,20587,0.0,1,20587,278.19999997218,20865
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2AG,17669.0,17669,17669,0.0,1,17669,1459.79999985402,19129
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2AR,19081.0,19081,19081,0.0,1,19081,3408.49999965915,22489
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2BG,19148.0,19148,19148,0.0,1,19148,2667.79999973322,21816
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2BK,50345.0,50345,50345,0.0,1,50345,301.49999984925,50646
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,3AG,14319.0,14319,14319,0.0,1,14319,1526.19999984738,15845
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,3AK,29031.0,29031,29031,0.0,1,29031,1686.999999789125,30718
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,3BG,15013.0,15013,15013,0.0,1,15013,826.49999991735,15839
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,3BR,18817.0,18817,18817,0.0,1,18817,1158.49999988415,19975
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,GM,12903.0,12903,12903,0.0,1,12903,288.09999997119,13191
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,GMK,16124.0,16124,16124,0.0,1,16124,1692.39999983076,17816
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,GMR,18177.0,18177,18177,0.0,1,18177,1469.59999985304,19647
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,SCG,26928.0,26928,26928,0.0,1,26928,7433.29999925667,34361
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,SCR,31240.0,31240,31240,0.0,1,31240,7804.79999921952,39045
E001,University Visveswariah College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,STG,19414.0,19414,19414,0.0,1,19414,10309.19999896908,29723
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,1G,8977.0,8977,8977,0.0,1,8977,526.79999994732,9504
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,1K,18177.0,18177,18177,0.0,1,18177,0.0,18177
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,1R,9076.0,9076,9076,0.0,1,9076,2885.79999942284,11962
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,2AG,8610.0,8610,8610,0.0,1,8610,271.69999997282997,8882
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,2AR,9992.0,9992,9992,0.0,1,9992,184.59999998154,10177
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,2BG,13870.0,13870,13870,0.0,1,13870,1237.89999987621,15108
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,2BR,17724.0,17724,17724,0.0,1,17724,2408.19999975918,20132
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,3AG,5689.0,5689,5689,0.0,1,5689,251.69999997483,5941
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,3AR,9904.0,9904,9904,0.0,1,9904,117.77142855796897,10022
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,3BG,6278.0,6278,6278,0.0,1,6278,353.69999996463,6632
